participant_id,code_number,code_type,expected_output,participant_output,time_in_seconds,experience_level,learn_place,gender,job_title
OCAWjTH2819v,0,2,ThisIsATestString,ThisIsATestString,88,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,1,2,18,18,54,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,2,0,['is':'snake':'shoe'],['is':'snake':'shoe'],134,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,3,1,5,5,76,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,4,2,8,KeyError,154,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,5,0,['riddle': 'nothing': 'all': 'questions'],[],117,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
OCAWjTH2819v,6,1,False,False,64,2-5,University or college:Online course:Coding bootcamp,Male,Algorithm
oBkv8g974gNW,0,2,ThisIsATestString,This Is A Test String,42,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,1,1,18,18,18,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,2,2,['is':'snake':'shoe'],['is': 'snake': 'shoe'],75,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,3,0,5,5,72,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,4,1,8,8,48,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,5,2,['riddle': 'nothing': 'all': 'questions'],['riddle': 'all'],58,6-10,Army:University or college,Female,Manager
oBkv8g974gNW,6,0,False,False,38,6-10,Army:University or college,Female,Manager
fLpq435b8YIj,0,2,ThisIsATestString,ThisIsATestString,65,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,1,0,18,18,10,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,2,1,['is':'snake':'shoe'],['is':'snake':'shoe'],80,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,3,2,5,5,107,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,4,0,8,8,50,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,5,1,['riddle': 'nothing': 'all': 'questions'],["riddle":"all"],81,2-5,Army:Online course:Highschool,Male,Developer
fLpq435b8YIj,6,2,False,False,30,2-5,Army:Online course:Highschool,Male,Developer
x31kVVoa4DN8,0,2,ThisIsATestString,ThisIsATestString,69,2-5,University or college:Online course:Coding bootcamp:Highschool,Male,Algorithm
x31kVVoa4DN8,1,0,18,18,41,2-5,University or college:Online course:Coding bootcamp:Highschool,Male,Algorithm
